TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2022,5,16,21,58,17XX E BROADWAY AVE,Grandview-Woodland,495003.3523,5456623.6716
Other Theft,2022,5,18,21,23,17XX E BROADWAY AVE,Grandview-Woodland,495003.3523,5456623.6716
Other Theft,2022,6,20,6,24,17XX E BROADWAY AVE,Grandview-Woodland,495003.3523,5456623.6716
Other Theft,2022,6,23,10,14,17XX E BROADWAY AVE,Grandview-Woodland,495003.3523,5456623.6716
Other Theft,2022,1,1,19,30,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2061,5456613.9743
Other Theft,2022,1,7,14,14,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2061,5456613.9743
Other Theft,2022,1,7,14,59,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2061,5456613.9743
Other Theft,2022,1,13,16,39,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2061,5456613.9743
Other Theft,2022,1,14,18,53,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2061,5456613.9743
Other Theft,2022,1,15,22,45,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.2061,5456613.9743
